timestamp,distance,heart_rate
2019-06-23 12:11:40,0.0,123
2019-06-23 12:13:36,551280235,-889912262,233.20000000000005,233.20000000000005,940.29,7.28,7.28,135
2019-06-23 12:13:37,551280066,-889913428,234.60000000000002,234.60000000000002,947.98,7.69,7.69,136
2019-06-23 12:13:38,551279910,-889914496,235.0,235.0,955.03,7.053,7.053,137
2019-06-23 12:13:39,551279721,-889915558,235.60000000000002,235.60000000000002,962.12,7.085,7.085,137
2019-06-23 12:13:40,551279488,-889916613,235.79999999999995,235.79999999999995,969.27,7.149,7.149,138
2019-06-23 12:13:41,551279219,-889917636,235.39999999999998,235.39999999999998,976.34,7.069,7.069,140
2019-06-23 12:13:42,551278932,-889918684,236.0,236.0,983.61,7.276,7.276,141
2019-06-23 12:13:43,551278592,-889919810,236.20000000000005,236.20000000000005,991.55,7.933,7.933,142
2019-06-23 12:13:44,551278306,-889920842,236.60000000000002,236.60000000000002,998.72,7.178,7.178,143
2019-06-23 12:13:45,551278035,-889921908,237.20000000000005,237.20000000000005,1006.06,7.331,7.331,144
2019-06-23 12:13:46,551277745,-889922927,237.60000000000002,237.60000000000002,1013.18,7.121,7.121,144
2019-06-23 12:13:47,551277399,-889924012,237.60000000000002,237.60000000000002,1020.89,7.709,7.709,145
2019-06-23 12:13:48,551276995,-889925059,237.79999999999995,237.79999999999995,1028.63,7.739,7.739,146
2019-06-23 12:13:49,551276616,-889926131,238.0,238.0,1036.4,7.77,7.77,146
2019-06-23 12:13:50,551276222,-889927208,238.20000000000005,238.20000000000005,1044.26,7.867,7.867,147
2019-06-23 12:13:51,551275810,-889928299,237.79999999999995,237.79999999999995,1052.29,8.024,8.024,148
2019-06-23 12:13:52,551275384,-889929471,238.0,238.0,1060.83,8.546,8.546,148
2019-06-23 12:13:53,551274954,-889930780,238.39999999999998,238.39999999999998,1070.19,9.358,9.358,149
2019-06-23 12:13:54,551274540,-889932151,240.79999999999995,240.79999999999995,1079.85,9.652,9.652,149
2019-06-23 12:13:55,551274115,-889933627,241.0,241.0,1090.17,10.326,10.326,149
2019-06-23 12:13:56,551273636,-889935139,240.60000000000002,240.60000000000002,1100.91,10.737,10.737,148
2019-06-23 12:13:57,551273174,-889936662,241.0,241.0,1111.65,10.74,10.74,148
2019-06-23 12:13:58,551272685,-889938133,240.79999999999995,240.79999999999995,1122.18,10.533,10.533,148
2019-06-23 12:13:59,551272096,-889939563,240.60000000000002,240.60000000000002,1132.93,10.746,10.746,148
2019-06-23 12:14:00,551271346,-889940849,239.79999999999995,239.79999999999995,1143.78,10.848,10.848,148
2019-06-23 12:14:01,551270530,-889941924,239.39999999999998,239.39999999999998,1154.07,10.288,10.288,148
2019-06-23 12:14:02,551269685,-889942865,238.60000000000002,238.60000000000002,1164.01,9.941,9.941,147
2019-06-23 12:14:03,551268737,-889943381,238.39999999999998,238.39999999999998,1173.44,9.434,9.434,147
2019-06-23 12:14:04,551267794,-889943775,238.39999999999998,238.39999999999998,1182.57,9.13,9.13,146
2019-06-23 12:14:05,551266861,-889943876,237.79999999999995,237.79999999999995,1191.28,8.707,8.707,146
2019-06-23 12:14:06,551265878,-889943543,238.39999999999998,238.39999999999998,1200.68,9.397,9.397,146
2019-06-23 12:14:07,551264921,-889943230,238.39999999999998,238.39999999999998,1209.81,9.13,9.13,145
2019-06-23 12:14:08,551263859,-889942887,238.0,238.0,1219.94,10.128,10.128,145
2019-06-23 12:14:09,551262804,-889942512,238.0,238.0,1230.06,10.12,10.12,145
2019-06-23 12:14:10,551261780,-889942343,238.79999999999995,238.79999999999995,1239.64,9.585,9.585,144
2019-06-23 12:14:11,551260902,-889942163,239.39999999999998,239.39999999999998,1247.9,8.256,8.256,144
2019-06-23 12:14:12,551260009,-889941968,239.79999999999995,239.79999999999995,1256.31,8.405,8.405,144
2019-06-23 12:14:13,551259252,-889941735,239.60000000000002,239.60000000000002,1263.51,7.204,7.204,144
2019-06-23 12:14:14,551258493,-889941461,240.60000000000002,240.60000000000002,1270.79,7.275,7.275,144
2019-06-23 12:14:15,551257771,-889941195,242.79999999999995,242.79999999999995,1277.72,6.936,6.936,143
2019-06-23 12:14:16,551257046,-889940836,243.0,243.0,1284.85,7.131,7.131,143
2019-06-23 12:14:17,551256394,-889940485,243.0,243.0,1291.33,6.478,6.478,143
2019-06-23 12:14:18,551255567,-889940282,243.0,243.0,1299.14,7.807,7.807,143
2019-06-23 12:14:19,551254768,-889940056,243.60000000000002,243.60000000000002,1306.72,7.583,7.583,143
2019-06-23 12:14:20,551254004,-889939826,243.79999999999995,243.79999999999995,1313.98,7.26,7.26,144
2019-06-23 12:14:21,551253210,-889939579,243.60000000000002,243.60000000000002,1321.54,7.558,7.558,144
2019-06-23 12:14:22,551252399,-889939387,243.79999999999995,243.79999999999995,1329.19,7.645,7.645,145
2019-06-23 12:14:23,551251612,-889939218,244.60000000000002,244.60000000000002,1336.59,7.404,7.404,145
